id,code,name,type,created_at,modified_at,modified_by
b62895cb-cc60-42b1-92bc-dea3e9064626,62500,Donations & Social Responsibility,Expense,2026-03-11 06:19:01.298826+00,2026-03-11 06:19:01.298826+00,
dbb7fb36-c500-46b5-84e0-ab4410dc473f,60300,Sample account,Expense,2026-03-25 13:07:43.684962+00,2026-03-25 13:07:43.684962+00,
a0e5c9a6-65c4-4247-9281-9b65ba52aacd,21000,Freight Payable (Transporters),Liability,2026-04-14 11:51:40.086816+00,2026-04-14 11:51:40.086816+00,
67bc1b8f-a146-4ad0-bb50-3c30294d48d8,20100,Commercial Adjustment Accrual,Liability,2026-02-26 08:46:36.45317+00,2026-04-30 16:15:41.257449+00,04249cb9-eebf-426b-a9a4-e42aa57d2ee7
8c3fe227-f94b-470b-a89e-08f98e4d083e,31001,Sales Accural,Equity,2026-05-01 16:52:19.478839+00,2026-05-01 16:52:19.478839+00,
fd4f4d33-a3fc-429d-9fbc-d637a5d1df5d,31002,Sales Accural Adjustments,Equity,2026-05-01 16:56:06.861731+00,2026-05-01 16:56:06.861731+00,
e4b5d8c0-594b-43c0-8e16-02f52e0d1983,31003,Sales Comission,Equity,2026-05-01 16:59:30.084163+00,2026-05-01 16:59:30.084163+00,
89bb3b44-3b78-4580-be2b-65bdc6741bd1,31004,Sales Comission Payouts,Equity,2026-05-01 16:59:30.084163+00,2026-05-01 16:59:30.084163+00,
a54fda33-3b98-415a-af15-a57b390fc8cc,10100,Cash on Hand,Asset,2026-02-26 08:46:36.45317+00,2026-02-26 08:46:36.45317+00,
a41de754-5e41-43e8-9db9-d49ff10f619f,10300,Main Bank Account,Asset,2026-02-26 08:46:36.45317+00,2026-02-26 08:46:36.45317+00,
b160074a-db73-4fba-a190-c802cfda3858,11000,Accounts Receivable (Trade Debtors),Asset,2026-02-26 08:46:36.45317+00,2026-02-26 08:46:36.45317+00,
236900df-afae-4bfb-a503-58fa69963459,12000,Inventory - Raw Materials,Asset,2026-02-26 08:46:36.45317+00,2026-02-26 08:46:36.45317+00,
ecf7b228-0eac-463d-bb73-17923cbbbd82,12200,Inventory - Finished Goods,Asset,2026-02-26 08:46:36.45317+00,2026-02-26 08:46:36.45317+00,
7cbf9258-067e-45f5-87f8-8687daa6deb2,15200,Plant & Machinery,Asset,2026-02-26 08:46:36.45317+00,2026-02-26 08:46:36.45317+00,
001e15e4-7662-455f-82f0-e0be6b85f97b,20000,Accounts Payable (Trade Creditors),Liability,2026-02-26 08:46:36.45317+00,2026-02-26 08:46:36.45317+00,
809c86f7-af91-43f4-9f66-8aaa6244b0e5,20500,Output Sales Tax (Payable),Liability,2026-02-26 08:46:36.45317+00,2026-02-26 08:46:36.45317+00,
742f55cd-87ab-4f22-8b4b-af21d4bef15f,20400,Withholding Tax Payable,Liability,2026-02-26 08:46:36.45317+00,2026-02-26 08:46:36.45317+00,
45486715-e7b9-4170-bc95-5cf770446b21,30001,Owner's Equity,Equity,2026-02-26 08:46:36.45317+00,2026-02-26 08:46:36.45317+00,
fdeed33d-ca8b-4b8a-8a15-de113450802e,31000,Retained Earnings,Equity,2026-02-26 08:46:36.45317+00,2026-02-26 08:46:36.45317+00,
7c13cff7-319d-4520-908c-ba83451a685a,40000,Sales Revenue - Local,Revenue,2026-02-26 08:46:36.45317+00,2026-02-26 08:46:36.45317+00,
92d8745d-5c27-42be-8cb3-9dce09071174,40100,Sales Revenue - Export,Revenue,2026-02-26 08:46:36.45317+00,2026-02-26 08:46:36.45317+00,
7d2b09d0-50f2-4677-b335-ff58bdd29ae6,41000,Sales Returns & Allowances,Revenue,2026-02-26 08:46:36.45317+00,2026-02-26 08:46:36.45317+00,
1e85e10d-2a62-4800-89a4-e59c1e52e757,42000,Sales Discounts,Revenue,2026-02-26 08:46:36.45317+00,2026-02-26 08:46:36.45317+00,
