id,name,category,variant_name,uom,is_active
faef43f5-501b-4721-99bc-aba3762689b9,Wheat,Wheat,Standard,Kilogram,t
b42f5aba-bf64-4373-9dd0-0bc0a021844f,Bardana Premium Bran,Bardana Packaging,34,Unit,t
c2d8f1e5-89ec-4ca1-9452-d49e7536129b,Bardana Pizza Flour,Bardana Packaging,10,Unit,t
beb3b0d6-40b9-4427-928e-9a820036f2bf,Bardana Al-Qamar Atta,Bardana Packaging,10,Unit,t
1dcaa77f-a4d8-43c0-9bf0-cdfc60081e79,Al-Qamar Atta,Atta,79,Kilogram,t
0de2f238-ba43-4327-aedd-f37957f55b84,Premium Suji,Suji,20,Kilogram,t
95177135-6531-4c1c-924e-fb52e0a066c6,Bardana Premium Maida,Bardana Packaging,50,Unit,t
56dcae71-e69c-47ed-a032-d97b1b6a4131,Premium Maida,Maida,5,Kilogram,t
1bd778b2-6f12-4723-94a5-bc8c2bd30b83,Bardana Premium Fine,Bardana Packaging,50,Unit,t
791dab05-effd-43cd-842b-2eca9a776288,Premium Fine,Fine,50,Kilogram,t
07723aa8-9f8f-41ca-b623-c486bb145c1f,Premium Bran,Bran,30,Kilogram,t
10d5d88b-c74f-4e99-8435-ee1690d6c047,Al-Qamar Atta(Green),Atta,20,Kilogram,t
618b46f4-98ba-4df7-bb7d-b07d7d1a9bb3,Bardana Al-Rehmat Atta,Bardana Packaging,15,Unit,t
8dedb270-a04f-4214-b29c-c4bc4f2f78c7,Premium Atta,Atta,49,Kilogram,t
a3828c3d-5e76-42a8-8a7e-cbad128433ad,Bardana Al-Qamar Atta(Green),Bardana Packaging,10,Unit,t
6ddeaf11-7c7d-4907-bdeb-dc87313c98dd,Premium Pizza Flour,Maida,10,Kilogram,t
11fadc6b-27d2-4bf0-a616-a82ddf3a9742,Refraction (Mamni),Refraction,Standard,Kilogram,t
5e0fb7c3-0585-4fd8-8b17-d7ac30c731af,Refraction (Ghundi),Refraction,Standard,Kilogram,t
f44d95fe-73b2-4163-b5f1-c63305ee8b44,Al-Rehmat Atta,Atta,20,Kilogram,t
38174f51-c225-4f30-b257-fb55cbbd5424,Refraction (Khapra Matti),Refraction,Standard,Kilogram,t
6b066808-0836-4fd1-a27b-2ba8bd315674,Packaging Thread,Bardana Packaging,Standard,Kilogram,t
15a706d5-599d-4224-9ac4-f91809e18f25,Wheat Bardana,Bardana Wheat,Standard,Unit,t
e7c36973-a89b-4a54-bb0c-a5164bcfb8d1,Al-Qamar Atta(Silver),Atta,15,Kilogram,t
fb688ad7-dd32-4bc9-845f-2bde018910cb,Bardana Premium Atta,Bardana Packaging,10,Unit,t
4efa9322-640e-4061-9b01-d0871de21139,Bardana Al-Qamar Atta(Silver),Bardana Packaging,15,Unit,t
