id,contact_id,reference_id,amount_due,as_of_date,age_days,age_bucket,entity_type
094875b2-b071-4a54-85a1-d7bf6811313f,ef173824-236e-4589-af6a-5bd7edb0e89f,485098e8-272e-4da5-b53c-c5ed8f191d38,20600,2026-06-18,106,90+ Days,Customer
36d22d08-be6e-48fd-9fbd-61c101f9f95f,ebd4b889-4b94-4c8e-acde-8b3b5f560d31,7a00bb89-bed7-4a17-a76d-6b899b98849d,147000,2026-06-18,94,90+ Days,Customer
e1a7ca74-f6b5-4f35-93ec-84919fb52cf1,271cdaa5-4d7d-46cd-9a43-7e3bb4bb922a,d3cb495f-2fe8-464c-b1ec-af3b0f5c3f4c,400975,2026-06-18,699,90+ Days,Customer
199fe441-0730-4b92-89a7-ad9c0fa53512,2df9cb4d-3931-42d6-b71e-03529a9850cb,31de97b5-0e31-4138-bcea-4cff3cb3dddc,1212500,2026-06-18,74,61-90 Days,Customer
a8920565-f7cf-43c9-9370-802988ee54bd,fdf56cc8-2c66-486d-ae8f-8f48c5a28b0c,a9356e93-31fc-4131-9382-cc0fbc04ccd7,2900,2026-06-18,55,46-60 Days,Customer
2469c8b8-b9c4-417d-9d8b-e3753ca930ea,e0140edd-1909-49ae-9bdf-d36e683f578d,b5abd912-5dc8-4418-b2e9-43b0ba7518a6,322000,2026-06-18,529,90+ Days,Customer
9884b30d-0311-41e4-afe9-d11bcd016338,94840a95-c5bb-495e-a6b6-b69f8754b8b8,8a0978bf-8f0d-4fc7-98d9-da9477ccf7c2,321500,2026-06-18,325,90+ Days,Customer
2d631a3c-0567-49d6-a3fa-fa6830ad0d62,71be3019-2872-4e46-9e8f-941663554ca2,93bfa025-bbb1-4b1d-b701-542bfce4d232,318000,2026-06-18,515,90+ Days,Customer
0b8dbe80-a327-49c7-bf58-6d583aa2a2af,56037025-414a-4a5f-8b0f-a21864528f78,daab4b27-4ca9-41ba-99db-7dde17a01b6b,3712000,2026-06-18,224,90+ Days,Customer
2f3c6095-5961-4378-97c1-558f5ef5acdb,71be3019-2872-4e46-9e8f-941663554ca2,bf65ce07-e26e-47e2-84b3-4b63a510d45f,179000,2026-06-18,106,90+ Days,Customer
ef4adfe6-169a-4f3e-8bc1-9291fa707321,71be3019-2872-4e46-9e8f-941663554ca2,09f3fe27-c4c6-421d-af54-43435ea29b83,407070,2026-06-18,62,61-90 Days,Customer
3d34c88d-6c8c-44f4-850d-2fe3753c24cf,71be3019-2872-4e46-9e8f-941663554ca2,f2e854af-20d9-4a2f-adf1-1f4a9905f4a8,532900,2026-06-18,94,90+ Days,Customer
dabf4bf1-e049-4999-aea0-a6b2b551c69b,2df9cb4d-3931-42d6-b71e-03529a9850cb,a61b3635-be56-4513-8dd5-4761db571dbf,900,2026-06-18,74,61-90 Days,Customer
3613ad5d-58ba-46b0-b509-dc1c1ebc8bf6,7f074738-5a84-4e01-9226-9a0acb1a86d8,94d3440f-7632-40cf-955f-a649f4a1ea5d,1042500,2026-06-18,620,90+ Days,Customer
d6dbd077-7f82-4c7d-aa70-468169439794,fb0dc6af-e04e-4271-a539-9702b4d8fdfb,ee2d6e1c-b6ed-4d1e-b30c-7f9bcfcea109,1038000,2026-06-18,267,90+ Days,Customer
52deafbc-b9d5-4eff-b1ff-70f67cf1ca13,71be3019-2872-4e46-9e8f-941663554ca2,9e014367-9eaf-4875-84f9-f82883a81316,1031328,2026-06-18,220,90+ Days,Customer
96586870-567c-42eb-9643-cdf2149710be,e99e6ca5-a4bb-4343-a635-49f04389ca2a,01dafc52-465b-4544-9d54-19958e73adec,1027780,2026-06-18,297,90+ Days,Customer
e22258f6-5c1b-422d-85c9-04b8824853c5,ee050b45-8c17-4d06-ba05-a7f64ed04dab,01409ce3-9882-48fe-b41f-45752a2cdb68,1024878,2026-06-18,541,90+ Days,Customer
2355c252-3c7e-47ce-a558-8401e6658a1c,71be3019-2872-4e46-9e8f-941663554ca2,6d64395a-84d8-4072-9f7f-687ea183b5f3,978800,2026-06-18,490,90+ Days,Customer
fb56cbc4-2b99-4059-98f9-39ba91ec727e,f0fcd114-c83c-4557-ab8e-29869eb50b7b,b7e09c1a-4142-4dd7-aae3-c8ac79952246,966000,2026-06-18,620,90+ Days,Customer
99ae05ec-9bde-414c-a306-66883155a643,f3df996d-b48b-4239-8bf1-1e46b44fabd6,142004af-888c-4900-96d2-af2c52ddceb7,960000,2026-06-18,186,90+ Days,Customer
3694a126-0b2e-4244-953a-07e9d77d6597,71be3019-2872-4e46-9e8f-941663554ca2,497a9c92-ca4d-4ae9-83c8-93efbb5c4239,447500,2026-06-18,106,90+ Days,Customer
dd42a0ed-aafd-4afd-9e70-5d1f8d1c9b84,71be3019-2872-4e46-9e8f-941663554ca2,39cc3b9f-0256-446d-ba8a-9ed7729d0875,314500,2026-06-18,62,61-90 Days,Customer
39284a68-49f8-4dd2-8771-921ffb9729b0,71be3019-2872-4e46-9e8f-941663554ca2,005ddcec-bf8b-4118-b370-273654f9a001,180000,2026-06-18,94,90+ Days,Customer
