id,product_variant_id,quantity,type,reference,reason,created_at,modified_at,modified_by,contract_id
98f36f83-577b-42da-803e-ae9b7d1b8f72,8851e237-ca39-487c-a35f-e28fe711d32c,-3500,Sale,INV-2026-03-00045||line:133b1dcc-f9f6-488f-b790-4cdae7ba8856||/sales/invoices/97f04cdd-f726-4643-81a0-a5b6371f0548,Premium Maida - 50,2026-03-03 19:00:00+00,2026-03-14 06:57:08.838837+00,,
ddc3ddd2-285f-49dc-8d02-1a162ddde965,8851e237-ca39-487c-a35f-e28fe711d32c,-100,Sale,INV-2026-03-00047||line:cadf2e94-dc16-4cc9-922b-af44adbc546b||/sales/invoices/d86dc2b3-9b42-4106-a21d-56234405a66a,Premium Maida - 50,2026-03-02 19:00:00+00,2026-03-14 06:57:08.838837+00,,
17a88b62-26cb-4731-ba02-f9024b1df4c5,396eef73-791a-465c-ae17-b78505b08d5f,-280,Conversion,CONV-1773474439099,Stock Conversion (Source),2026-03-14 07:47:19.613+00,2026-03-14 07:47:19.632552+00,,
fe1c8837-33fc-46f9-8f80-636db4fbd0f9,8851e237-ca39-487c-a35f-e28fe711d32c,-1500,Sale,INV-2026-03-00080||line:1b4058cb-e657-412b-b5a6-7c2f57d2058d||/sales/invoices/3eaf8f49-f43c-43db-a127-7efa16f903bd,Premium Maida - 50,2026-03-08 19:00:00+00,2026-03-14 06:57:08.838837+00,,
3e02f98c-e077-4536-bed3-b92fc0da829e,8851e237-ca39-487c-a35f-e28fe711d32c,-50,Sale,INV-2026-03-00102||line:04e60b77-a1ac-4483-9420-59a87e18e3d9||/sales/invoices/918e6dcd-66c1-4819-b37d-c24771b82f8b,Premium Maida - 50,2026-03-10 19:00:00+00,2026-03-14 06:57:08.838837+00,,
b34155e6-eb9d-4a24-91d3-55b03c0438e1,8851e237-ca39-487c-a35f-e28fe711d32c,-500,Sale,INV-2026-03-00107||line:324d1dcb-b564-464a-9ce3-1bffb91bb193||/sales/invoices/f92c668d-9036-4298-8353-3ca654e17439,Premium Maida - 50,2026-03-11 19:00:00+00,2026-03-14 06:57:08.838837+00,,
dfe61532-867a-4ec9-9e23-151adc2ea962,8851e237-ca39-487c-a35f-e28fe711d32c,-100,Sale,INV-2026-03-00109||line:c6e37c95-8762-45a5-bde2-7b52de26d617||/sales/invoices/502fa430-84d3-4305-9715-2e08b13a7d77,Premium Maida - 50,2026-03-11 19:00:00+00,2026-03-14 06:57:08.838837+00,,
6d84dc38-999f-4eaf-aa72-092a8c1203a3,a6707819-7f9c-4968-ad8e-badfec24bef2,-580,Sale,INV-2026-03-00111||/sales/invoices/3339bf54-eb51-45f8-b4cb-c0809c462291,Al-Qamar Atta(Green) - 20,2026-03-05 19:00:00+00,2026-03-14 10:10:47.378193+00,,
b8a30bc5-69f3-4f8d-89bd-92025f9060e6,d23536f3-0d86-4dcd-934e-9085566d4dc7,-7397,Production,MO-2026-03-00016||/production/9834ac7d-ae8a-4995-94e5-d206bace7dd3/edit||comp:621f7c6c-20f0-4e6c-b2f5-606738f144c4,Component Consumption,2026-03-16 06:33:10.69+00,2026-03-18 06:33:10.713452+00,,
67e9dae1-36f1-40b8-a215-186ddd06a8ac,e560c8fd-332b-48cb-b7de-125a590bcb0c,2400,Production,MO-2026-03-00016||/production/9834ac7d-ae8a-4995-94e5-d206bace7dd3/edit||fg:4b0fc63a-7ef1-4024-bc5b-39a5b20cab43,Finished Goods Production,2026-03-16 06:33:13.236+00,2026-03-18 06:33:13.267342+00,,
